Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude
133,Carl2,442.075+,,0,Tone,162.2,88.5,23,NN,FM,5,, San Francisco,,,,,,37.794575,-122.399948
134,Carl3,443.075+,,0,Tone,173.8,88.5,23,NN,FM,5,, Pt. Arena,,,,,,32.61717,-116.46291
135,Carl4,442.075+,,0,Tone,167.9,88.5,23,NN,FM,5,, Greenfield,,,,,,35.26683,-119.00073
136,Carl5,443.050+,,0,Tone,173.8,88.5,23,NN,FM,5,, Oakland,,,,,,37.880878,-122.186127
137,Carl6,443.075+,,0,Tone,167.9,88.5,23,NN,FM,5,, Willows,,,,,,40.15052,-122.2379
138,Carl7,443.075+,,0,Tone,162.2,88.5,23,NN,FM,5,, San Jose,,,,,,37.29787,-121.86034
139,Carl8,442.075+,,0,Tone,151.4,88.5,23,NN,FM,5,, South Lake Tahoe,,,,,,38.8248,-120.03402
140,Carl9,442.075+,,0,Tone,173.8,88.5,23,NN,FM,5,, Modesto,,,,,,37.72695,-121.43031
141,Carl10,443.475+,,0,Tone,173.8,88.5,23,NN,FM,5,, Monterey Bay,,,,,,37.17839,-121.81725
142,Carl11,443.475+,,0,Tone,162.2,88.5,23,NN,FM,5,, Walnut Creek,,,,,,37.91367,-122.01807
143,Carl12,442.075+,,0,Tone,156.7,88.5,23,NN,FM,5,, Pleasanton,,,,,,37.65836,-121.95966
144,Carl13,442.075+,,0,Tone,167.9,88.5,23,NN,FM,5,, Shasta Lake,,,,,,40.86072,-122.39739
145,Carl14,443.475+,,0,Tone,156.7,88.5,23,NN,FM,5,, Cisco Grove,,,,,,39.30716,-120.53786
146,Carl15,440.750+,,0,Tone,162.2,88.5,23,NN,FM,5,, Fresno,,,,,,36.26978,-120.40018
147,Carl16,440.750+,,0,Tone,173.8,88.5,23,NN,FM,5,, Sacramento,,,,,,38.34842,-121.90865
148,Carl17,443.475+,,0,Tone,151.4,88.5,23,NN,FM,5,, Sonora,,,,,,38.0659,-120.27574
149,Carl18,443.475+,,0,Tone,167.9,88.5,23,NN,FM,5,, Topaz Lake,,,,,,38.69727,-119.54934
150,Carl19,443.325+,,0,Tone,173.8,88.5,23,NN,FM,5,, Hayward,,,,,,37.65836,-121.95966
151,Carl20,440.750+,,0,Tone,156.7,88.5,23,NN,FM,5,, Burney,,,,,,40.92382,-121.82634
152,Carl21,440.750+,,0,Tone,156.7,88.5,23,NN,FM,5,, Reno,,,,,,39.61352,-119.89635
153,Carl22,440.725+,,0,Tone,156.7,88.5,23,NN,FM,5,, Hawthorne,,,,,,38.50394,-118.65292
154,Carl23,441.550+,,0,Tone,156.7,88.5,23,NN,FM,5,, North Lake Tahoe,,,,,,39.43387,-119.80736
155,Carl24,443.325+,,0,Tone,156.7,88.5,23,NN,FM,5,, Carson Valley,,,,,,39.2325,-119.68697
156,Carl25,444.325+,,0,Tone,173.8,88.5,23,NN,FM,5,, Redding,,,,,,40.60878,-122.34735
157,Carl26,443.475+,,0,Tone,167.9,88.5,23,NN,FM,5,, Geyserville,,,,,,38.82653,-122.99658
158,Carl27,440.725+,,0,Tone,173.8,88.5,23,NN,FM,5,, Quincy,,,,,,40.04083,-120.88001
159,Carl28,443.475+,,0,Tone,173.8,88.5,23,NN,FM,5,, Mt. Shasta,,,,,,41.20867,-122.31135
160,Carl29,443.500+,,0,Tone,162.2,88.5,23,NN,FM,5,, San Luis Obispo,,,,,,35.48077,-120.66644
161,Carl30,443.075+,,0,Tone,162.2,88.5,23,NN,FM,5,, Bakersfield,,,,,,34.95963,-119.44521
162,Carl31,448.080-,,0,Tone,162.2,88.5,23,NN,FM,5,, Los Angeles,,,,,,33.71447,-117.77079
163,Carl32,440.725+,,0,Tone,167.9,88.5,23,NN,FM,5,, Pacifica,,,,,,37.57477,-122.48308
164,Carl33,147.000+,,0,Tone,173.8,88.5,23,NN,FM,5,, Gualala,,,,,,38.76752,-123.5297
165,Carl35,146.850-,,0,Tone,162.2,88.5,23,NN,FM,5,, Oakland,,,,,,37.880878,-122.186127
166,Carl36,146.115+,,0,Tone,173.8,88.5,23,NN,FM,5,, Willows,,,,,,49.39278,-119.90995
167,Carl2 L,442.075+,,0,Tone,100,88.5,23,NN,FM,5,, local San Francisco,,,,,,37.794575,-122.399948
168,Carl3 L,443.075+,,0,Tone,100,88.5,23,NN,FM,5,, local Pt. Arena,,,,,,32.61717,-116.46291
169,Carl4 L,442.075+,,0,Tone,114.8,88.5,23,NN,FM,5,, local Greenfield,,,,,,35.26683,-119.00073
170,Carl5 L,443.050+,,0,Tone,114.8,88.5,23,NN,FM,5,, local Oakland,,,,,,37.880878,-122.186127
171,Carl6 L,443.075+,,0,Tone,114.8,88.5,23,NN,FM,5,, local Willows,,,,,,40.15052,-122.2379
172,Carl7 L,443.075+,,0,Tone,123,88.5,23,NN,FM,5,, local San Jose,,,,,,37.29787,-121.86034
173,Carl8 L,442.075+,,0,Tone,127.3,88.5,23,NN,FM,5,, local South Lake Tahoe,,,,,,38.8248,-120.03402
174,Carl9 L,442.075+,,0,Tone,123,88.5,23,NN,FM,5,, local Modesto,,,,,,37.72695,-121.43031
175,Carl10 L,443.475+,,0,Tone,123,88.5,23,NN,FM,5,, local Monterey Bay,,,,,,37.17839,-121.81725
176,Carl11 L,443.475+,,0,Tone,114.8,88.5,23,NN,FM,5,, local Walnut Creek,,,,,,37.91367,-122.01807
177,Carl12 L,442.075+,,0,Tone,103.5,88.5,23,NN,FM,5,, local Pleasanton,,,,,,37.65836,-121.95966
178,Carl13 L,442.075+,,0,Tone,114.8,88.5,23,NN,FM,5,, local Shasta Lake,,,,,,40.86072,-122.39739
179,Carl14 L,443.475+,,0,Tone,100,88.5,23,NN,FM,5,, local Cisco Grove,,,,,,39.30716,-120.53786
