Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude
94,CFD T27,155.745,,,Tone,162.2,88.5,23,NN,FM,5,,Tac 27,,,,,,37.485214,-122.236359
95,CFD T17,155.4,,,Tone,141.3,88.5,23,NN,FM,5,,Tac 17,,,,,,37.485214,-122.236359
96,CFD T37,155.4,,,Tone,107.2,88.5,23,NN,FM,5,,Tac 37,,,,,,37.485214,-122.236359
97,CFD CM11,154.37,,,Tone,114.8,88.5,23,NN,FM,5,,Command 11,,,,,,37.485214,-122.236359
98,CFD T25,154.145,,,Tone,118.8,88.5,23,NN,FM,5,,Tac 25,,,,,,37.485214,-122.236359
99,CFD CN3,154.1,,,Tone,114.8,88.5,23,NN,FM,5,,Control 3,,,,,,37.485214,-122.236359
100,CFD T15,154.04,,,Tone,118.8,88.5,23,NN,FM,5,,Tac 15,,,,,,37.485214,-122.236359
101,CFD T36,154.04,,,Tone,162.2,88.5,23,NN,FM,5,,Tac 36,,,,,,37.485214,-122.236359
102,CFD T16,154.01,,,Tone,110.9,88.5,23,NN,FM,5,,Tac 16,,,,,,37.485214,-122.236359
103,CFD T35,154.01,,,Tone,118.8,88.5,23,NN,FM,5,,Tac 35,,,,,,37.485214,-122.236359
104,CFD CM21,153.95,,,Tone,114.8,88.5,23,NN,FM,5,,Command 21,,,,,,37.485214,-122.236359
105,CFD CN1A,153.89,,,Tone,114.8,88.5,23,NN,FM,5,,Control 1A,,,,,,37.485214,-122.236359
106,CFD T26,153.83,,,Tone,110.9,88.5,23,NN,FM,5,,Tac 26,,,,,,37.485214,-122.236359
107,CFD CN2,153.785,,,Tone,156.7,88.5,23,NN,FM,5,,Control 2,,,,,,37.485214,-122.236359
108,CFD CM51,151.475,,,Tone,167.9,88.5,23,NN,FM,5,,Command 51,,,,,,37.485214,-122.236359
109,CFD CM31,151.085,,,Tone,123,88.5,23,NN,FM,5,,Command 31 – Pescadero,,,,,,37.485214,-122.236359
110,CFD CM41,155.895,,,Tone,114.8,88.5,23,NN,FM,5,,Command 41,,,,,,37.46467,-122.44018
111,CFD T47,155.745,,,Tone,123,88.5,23,NN,FM,5,,Tac 47,,,,,,37.46467,-122.44018
112,CFD T46,154.445,,,Tone,146.2,88.5,23,NN,FM,5,,Tac 46,,,,,,37.46467,-122.44018
113,HMBDISP,154.34,,0,Tone,114.8,88.5,23,NN,FM,5,,Half Moon Bay Dispatch,,,,,,37.46467,-122.44018
114,CFD T45,153.83,,,Tone,141.3,88.5,23,NN,FM,5,,Tac 45,,,,,,37.46467,-122.44018
115,LAHDISP,154.235,,0,Tone,114.8,88.5,23,NN,FM,5,,La Honda Dispatch,,,,,,37.31512,-122.27465
116,PIGDISP,154.145,,0,Tone,114.8,88.5,23,NN,FM,5,,Pigeon Point Dispatch,,,,,,37.19074,-122.38339
