Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude
74,AC6P,145.31,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,37.1041667,-122.04166
75,WR6AOK,147.12,+,0.6,Tone,94.8,88.5,23,NN,FM,5,,Ben Lomond,,,,,,37.089199,-122.08499
76,WR6AOK,52.8,-,1,Tone,114.8,88.5,23,NN,FM,5,,Ben Lomond,,,,,,37.089199,-122.08499
77,W6JWS,440.85,+,5,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,37.051392,-122.07222
78,W6MOW,927.925,split,902.0375,DTCS,88.5,88.5,205,NN,FM,5,,Felton,,,,,,37.051392,-122.07222
79,W6WLS,444,+,5,Tone,94.8,94.8,23,NN,FM,5,,Scotts Valley,,,,,,37.051392,-122.07222
80,W6DXW,442.75,+,5,Tone,110.9,110.9,23,NN,P25,5,,"Santa Cruz, Empire Grade",,,,,,36.979682,-122.058962
81,W6JWS,146.745,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,"Felton, Empire Grade",,,,,,36.979682,-122.058962
82,W6WLS,147.18,+,0.6,Tone,94.8,94.8,23,NN,P25,5,,"Santa Cruz, Empire Grade",,,,,,36.979682,-122.058962
83,KE6IEL,52.68,-,1,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.9791667,-121.95833
84,WA6HHQ,441.925,+,5,Tone,100,88.5,23,NN,FM,5,,Aptos,,,,,,36.977219,-121.89833
85,K6BJ,440.925,+,5,Tone,123,88.5,23,NN,Auto,5,,Santa Cruz,,,,,,36.976735,-122.0236
86,K6BJ,146.79,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.976735,-122.0236
87,AB6VS,440.55,+,5,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
88,N7WG,441.675,+,5,Tone,123,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
89,W6REB,927.2875,-,25,DTCS,88.5,88.5,423,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
90,WB6PHE,443.475,+,5,Tone,127.3,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
91,K6HJU,29.66,-,0.1,Tone,156.7,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974117,-122.03079
92,K6DRI,145,split,147.5,,88.5,88.5,23,NN,DV,5,,Santa Cruz,CQCQCQ,,,0,,36.9741,-122.031
93,K6RMW,147,+,0.6,Tone,94.8,94.8,23,NN,FM,5,,"Watsonville, Hospital",,,,,,36.927898,-121.79424
