Number,Service Area,ST/PR,CallSign,FREQ/Offset/PL,Location Information,AllStar or IRLP,Node #,Lat,Lon
1,Vista,CA,K6JSI,448.800* (-) 100.0,"Shorty's house, 560' + 53'",AllStar,1330,33.202419,-117.235626
2,Escondido,CA,K6JSI,449.080* (-) 123.0,"Palomar Mtn. 5,648' + 50'",AllStar,1350,33.322813,-116.878636
3,San Diego,CA,K6JSI,447.640* (-) 100.0,"Mt. Otay 3,565' + 20'",AllStar,1350,32.56433,-116.96031
4,Greater Los Angeles,CA,K6JSI,448.060  (-) 100.0,"Santiago Pk. 5,687' + 60'",AllStar,1350,33.710654,-117.534197
5,Bakersfield,CA,K6JSI,447.640* (-) 100.0,"Breckenridge Mtn. Bakersfield 7,571' + 70'",IRLP,3421,35.268618,-119.065974
6,Santa Barbara,CA,K6JSI,448.900* (-) 123.0,"Santa Ynez Peak. 4,288'  +  100'",AllStar,1360,34.527049,-119.978593
7,"Pomona, Riverside",CA,K6JSI,147.210  (+) 100.0,"Sunset Ridge, 5,210' + 100'",AllStar,1350,33.621098,-116.905581
8,"Pomona, Riverside",CA,K6JSI,224.160  (-) 71.9,"Sunset Ridge 5,210' + 100'",AllStar,1350,33.621098,-116.905581
9,Yuma,AZ,KJ6IZQ,448.000 (-) 100.0,,AllStar,1530,32.69265,-114.627693
10,Los Angeles and San Fernando Valley,CA,K6JSI,448.900* (-) 100.0,"Loop Canyon 3,780' + 55'",AllStar,1350,34.339634,-118.417809
11,San Fernando Valley,CA,K6JSI,446.460  (-) 100.0,"CA San Fernando Vly. Angeles repeater, 5,985' + 40'",AllStar,1350,34.253889,-118.44
12,Santa Anita Ridge,CA,K6JSI,447.580  (-) 100.0,"CA. Arcadia, 3.2 miles N. at 3,320' + 35'",AllStar,1350,34.135028,-118.041108
13,Fresno,CA,K6JSI,444.250  (+) 100.0,"Meadow Lakes, 4,580' + 40'",IRLP,3421,37.080226,-119.430687
14,Fresno,CA,K6JSI,146.790* (-) 100.0,"Meadow Lakes, 4,580' + 40'",IRLP,3421,37.080226,-119.430687
15,,,,,,,,,
16,Modesto - Stockton,CA,K6JSI,443.525  (+) 107.2,"Mt. Oso 3,347' + 30'",IRLP,3421,37.59966,-121.000445
