Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude,Features
1,K6JSI,448.8,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1330): Shorty's house, 560' + 53'", , , , ,,33.202419,-117.235626,AllStar (1330)
2,K6JSI,449.08,,-,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1350): Palomar Mtn. 5,648' + 50'", , , , ,,33.322813,-116.878636,AllStar (1350)
3,K6JSI,447.64,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1350): Mt. Otay 3,565' + 20'", , , , ,,32.56433,-116.96031,AllStar (1350)
4,K6JSI,448.06,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1350): Santiago Pk. 5,687' + 60'", , , , ,,33.710654,-117.534197,AllStar (1350)
5,K6JSI,447.64,,-,Tone,100,88.5,23,NN,FM,5, ,"IRLP (3421): Breckenridge Mtn. Bakersfield 7,571' + 70'", , , , ,,35.268618,-119.065974,IRLP (3421)
6,K6JSI,448.9,,-,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1360): Santa Ynez Peak. 4,288'  +  100'", , , , ,,34.527049,-119.978593,AllStar (1360)
7,K6JSI,147.21,,+,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1350): Sunset Ridge, 5,210' + 100'", , , , ,,33.621098,-116.905581,AllStar (1350)
8,K6JSI,224.16,,-,Tone,71.9,88.5,23,NN,FM,5, ,"AllStar (1350): Sunset Ridge 5,210' + 100'", , , , ,,33.621098,-116.905581,AllStar (1350)
9,KJ6IZQ,448,,-,Tone,100,88.5,23,NN,FM,5, ,AllStar (1530): , , , , ,,32.69265,-114.627693,AllStar (1530)
10,K6JSI,448.9,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1350): Loop Canyon 3,780' + 55'", , , , ,,34.339634,-118.417809,AllStar (1350)
11,K6JSI,446.46,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1350): CA San Fernando Vly. Angeles repeater, 5,985' + 40'", , , , ,,34.253889,-118.44,AllStar (1350)
12,K6JSI,447.58,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1350): CA. Arcadia, 3.2 miles N. at 3,320' + 35'", , , , ,,34.135028,-118.041108,AllStar (1350)
13,K6JSI,444.25,,+,Tone,100,88.5,23,NN,FM,5, ,"IRLP (3421): Meadow Lakes, 4,580' + 40'", , , , ,,37.080226,-119.430687,IRLP (3421)
14,K6JSI,146.79,,-,Tone,100,88.5,23,NN,FM,5, ,"IRLP (3421): Meadow Lakes, 4,580' + 40'", , , , ,,37.080226,-119.430687,IRLP (3421)
16,K6JSI,443.525,,+,Tone,107.2,88.5,23,NN,FM,5, ,"IRLP (3421): Mt. Oso 3,347' + 30'", , , , ,,37.59966,-121.000445,IRLP (3421)
17,K6JSI,448.94,,-,Tone,100,88.5,23,NN,FM,5, ,"IRLP (3449): T.O. Moorpark, Simi, Oxnard, Calabasas", , , , ,,34.285557,-118.882042,IRLP (3449)
19,K6JSI,447.95,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1780): Blue Diamond Hill, Great Vegas coverage", , , , ,,36.1152,-115.089996,AllStar (1780)
20,K6JSI,145.25,,-,Tone,100,88.5,23,NN,FM,5, , (): Bob's house   OFF AIR FOR NOW, , , , ,,36.1152,-115.089996, ()
21,KF6QYX,447.4,,-,Tone,100,88.5,23,NN,FM,5, ,AllStar (1760): , , , , ,,36.208301,-115.983913,AllStar (1760)
22,K7CAE,446.6,,-,Tone,103.5,88.5,23,NN,FM,5, ,AllStar (46586): West Valley coverage at 51st Avenue and Bell Road, , , , ,,33.555478,-112.075235,AllStar (46586)
23,K6JSI,449.75,,-,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1540): Bill Williams mountain, Arizona. Elevation 9,260'", , , , ,,35.200194,-112.205042,AllStar (1540)
24,N5ZUA,147.2,,+,Tone,103.5,88.5,23,NN,FM,5, ,AllStar (2414): 28 Miles East of Austin, , , , ,,30.110495,-97.315269,AllStar (2414)
25,N5ZUA,145.11,,-,Tone,103.5,88.5,23,NN,FM,5, ,AllStar (2434): 700'  , , , , ,,30.267153,-97.743057,AllStar (2434)
26,N5ZUA,146.88,,-,Tone,103.5,88.5,23,NN,FM,5, ,AllStar (2430): 60 miles west of Houston, , , , ,,29.845507,-96.325799,AllStar (2430)
27,N5ZUA,444.3,,+,Tone,123,88.5,23,NN,FM,5, ,AllStar (2433): 700', , , , ,,29.760427,-95.369804,AllStar (2433)
28,K6JSI,146.94,,-,Tone, ,88.5,23,NN,FM,5, ," (): Requa, Northern California Coast, 852' + 100'", , , , ,,41.546786,-124.066463, ()
29,K6JSI,443,,+,Tone, ,88.5,23,NN,FM,5, ,"AllStar (1460): Cahto Peak, north of Willits, 4,044' + 200'", , , , ,,39.686823,-123.579184,AllStar (1460)
30,K6SLS,443.1,,+,Tone,100,88.5,23,NN,FM,5, ,AllStar (42044): Shorty & Susan's house. Good local coverage, , , , ,,41.928168,-124.147027,AllStar (42044)
31,K6JSI,147.33,,+,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1410): Paradise - Chico, CA", , , , ,,39.759606,-121.621918,AllStar (1410)
32,K6JSI,442.9,,+,Tone,162.2,88.5,23,NN,FM,5, ,"IRLP (3847): Santa Cruz to San Jose, 3,380'", , , , ,,37.110918,-121.844279,IRLP (3847)
34,W6SLZ,440.625,,+,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1402): Tehachapi Mtns. 6,300' + 40'", , , , ,,35.046636,-118.484808,AllStar (1402)
35,WI6RE,448.8,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1801): El Paso Pk. 4,500' + 100'", , , , ,,35.476071,-117.709785,AllStar (1801)
36,KF6SWL,443.725,,+,Tone,100,88.5,23,NN,FM,5, ,"IRLP (7943): Omaha, Nebraska", , , , ,,41.256538,-95.934502,IRLP (7943)
38,WA7G,441.675,,+,Tone,100,88.5,23,NN,FM,5, ,AllStar (1440): Sugarloaf between Napa airport & Fairfield, , , , ,,38.263526,-122.221082,AllStar (1440)
40,N6WI,443.8,,+,Tone,91.5,88.5,23,NN,FM,5, ,"AllStar (27330): Terry's house 1,324' + 25'", , , , ,,36.364792,-93.567967,AllStar (27330)
41,NM7R,444.925,,+,Tone,82.5,88.5,23,NN,FM,5, ,"IRLP (3105): Long Beach, WA 1,315' + 20'", , , , ,,46.35232,-124.054331,IRLP (3105)
43,VE5FUN,441.65,,+,Tone,100,88.5,23,NN,FM,5, ,"IRLP (1667): Saskatoon, Saskatchewan, Canada", , , , ,,52.131592,-106.660599,IRLP (1667)
44,W5DEL,443.3,,+,Tone,162.2,88.5,23,NN,FM,5, ,"IRLP (8440): Oklahoma City, OK", , , , ,,36.014862,-96.906898,IRLP (8440)
45,WE7GV,449.375,,-,Tone,107.2,88.5,23,NN,FM,5, ,"AllStar (27144): Elephant Head, 5,863'  Tucson coverage", , , , ,,35.171593,-111.509394,AllStar (27144)
