Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude
0,WX2PA1,162.4,,0,,88.5,88.5,23,NN,FM,5,,Weather,,,,,,,
1,HOME1,462.125,,0,Tone,69.3,88.5,23,NN,FM,5,,Primary Home Frequency,,,,,,37.252441,-122.365695
2,HOME2,462.225,,0,,88.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
3,HOME3,462.325,,0,,88.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
4,HOME4,462.425,,0,Tone,103.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
5,HOME5,462.525,,0,Tone,114.8,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
6,HOME6,462.625,,0,Tone,127.3,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
7,HOME7,462.725,,0,Tone,136.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
8,HOME8,462.825,,0,Tone,162.2,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
9,HOME9,462.925,,0,DTCS,88.5,88.5,25,NN,FM,5,,,,,,,,37.252441,-122.365695
10,HOME10,463.025,,0,DTCS,88.5,88.5,32,NN,FM,5,,,,,,,,37.252441,-122.365695
11,HOME11,463.125,,0,DTCS,88.5,88.5,125,NN,FM,5,,,,,,,,37.252441,-122.365695
12,HOME12,463.225,,0,DTCS,88.5,88.5,331,NN,FM,5,,,,,,,,37.252441,-122.365695
13,HOME13,463.525,,0,DTCS,88.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
14,HOME14,450.225,,0,,88.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
15,HOME15,469.945,,0,Tone,203.5,88.5,23,NN,FM,5,,,,,,,,37.252441,-122.365695
