15000
 2:(0, 0, 0, 255):0:0:0
 2:(73, 0, 0, 252):73:0:0
 2:(147, 0, 0, 252):147:0:0
 2:(224, 0, 0, 252):224:0:0
 2:(252, 43, 0, 252):252:43:0
 2:(252, 119, 0, 252):252:119:0
 2:(252, 193, 0, 252):252:193:0
 2:(239, 252, 0, 252):239:252:0
 2:(163, 252, 0, 252):163:252:0
 2:(89, 252, 0, 252):89:252:0
 2:(12, 252, 0, 252):12:252:0
 2:(0, 193, 58, 252):0:193:58
 2:(0, 119, 132, 252):0:119:132
 2:(0, 43, 209, 252):0:43:209
 2:(8, 0, 238, 252):8:0:238
 2:(30, 0, 201, 252):30:0:201
 2:(52, 0, 164, 252):52:0:164
 2:(75, 0, 130, 255):75:0:130
 2:(121, 37, 160, 252):121:37:160
 2:(168, 75, 191, 252):168:75:191
 2:(217, 114, 223, 252):217:114:223
 2:(238, 149, 238, 252):238:149:238
 2:(243, 187, 243, 252):243:187:243
 2:(248, 223, 248, 252):248:223:248
